stateName,cityName,newHomeName,developerName,developerAddress,developerPhone,developerWebsite,unitName,unitStyle,br,ba,sqft,price,pps
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Weaver - Elev. A,Detached Two+ Story,4,3,2571,1779990,692
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Weaver - Elev. B,Detached Two+ Story,4,3,2587,1794990,694
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,36-1- Elev. A Modified,Detached Two+ Story,4,3,2732,null,0
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Lot 49,Detached Two+ Story,4,3,2732,1811990,663
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Williamson - Elev. C Modified,Detached Two+ Story,4,3,2813,1789990,636
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Lot 100,Detached Two+ Story,4,3,2813,1789990,636
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Lot 146,Detached Two+ Story,4,3,2813,1809990,643
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Lot 206,Detached Two+ Story,4,3,2813,1969990,700
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Watson - Elev. A,Detached Two+ Story,4,3,2893,1809990,626
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Watson - Elev. B,Detached Two+ Story,4,3,2907,1824990,628
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Williamson - Elev. A Modified,Detached Two+ Story,4,3,2983,null,0
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Lot 23,Detached Two+ Story,4,3,2983,1916990,643
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Jackson - Elev. C,Detached Two+ Story,4,3,3078,1824990,593
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Jackson - Elev. B,Detached Two+ Story,4,3,3082,1849990,600
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Jackson - Elev. A,Detached Two+ Story,4,3,3102,1834990,592
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Eastern - Elev. C,Detached Two+ Story,4,3,3122,2139990,685
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Wilson - Elev. A,Detached Two+ Story,4,3,3278,1885990,575
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Wilson - Elev. C,Detached Two+ Story,4,3,3304,1875990,568
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Sullivan - Elev. B,Detached Two+ Story,4,3,3315,2154990,650
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Sullivan - Elev. C,Detached Two+ Story,4,3,3340,2169990,650
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Fraser - Elev. B,Detached Two+ Story,4,4,3485,2174990,624
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Fraser - Elev. A,Detached Two+ Story,4,4,3502,2159990,617
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Fraser - Elev. C,Detached Two+ Story,4,4,3524,2189990,621
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Wolfe - Elev. A,Detached Two+ Story,4,4,3805,2189990,576
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Wolfe - Elev. B,Detached Two+ Story,4,4,3832,2204990,575
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Wolfe - Elev. C,Detached Two+ Story,4,4,3849,2219990,577
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Nolan - Elev. A,Detached Two+ Story,4,4,4106,2249990,548
Ontario,Adjala-Tosorontio,Colgan Crossing,Tribute CommunitiesGreybrook Realty Partners,"1815 Ironstone Manor, 1, Pickering, Ontario, L1W 3W9, Canada",905-839-3500,http://www.tributecommunities.com/,Nolan - Elev. C,Detached Two+ Story,4,4,4131,2279990,552
Ontario,Adjala-Tosorontio,Earl Rowe Estates,Construct & Conserve,"508504 Ontario 89, Rosemont, Ontario, L0N 1R0, Canada",905-370-0205,https://www.constructconserve.com/,Model C,Detached Bungalow,3,2,1918,null,0
Ontario,Adjala-Tosorontio,Earl Rowe Estates,Construct & Conserve,"508504 Ontario 89, Rosemont, Ontario, L0N 1R0, Canada",905-370-0205,https://www.constructconserve.com/,Model D,Detached Bungalow,3,2,2923,null,0
Ontario,Adjala-Tosorontio,Earl Rowe Estates,Construct & Conserve,"508504 Ontario 89, Rosemont, Ontario, L0N 1R0, Canada",905-370-0205,https://www.constructconserve.com/,Model A,Detached Two+ Story,3,2,2984,null,0
Ontario,Adjala-Tosorontio,Earl Rowe Estates,Construct & Conserve,"508504 Ontario 89, Rosemont, Ontario, L0N 1R0, Canada",905-370-0205,https://www.constructconserve.com/,Model B,Detached Bungalow,4,4,2697,null,0
